Título;ISSN impresa;ISSN en linea;Área;Instituto;URL
Educación, lenguaje y sociedad;1668-4753;2545-7667;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/educacion-lenguaje-y-sociedad/
Ejes de economía y sociedad;;2591-4669;Ciencias sociales y humanidades;Facultad de Cicias Económicas, Universidad Nacional de tre Ríos ;https://www.caicyt-conicet.gov.ar/sitio/ejes-de-economia-y-sociedad/
El cardo (Paraná. En línea);;1851-1562;Ciencias sociales y humanidades;Facultad de Cicias de la Educación, Universidad Nacional de tre Ríos;https://www.caicyt-conicet.gov.ar/sitio/el-cardo-parana-en-linea/
El hilo de la fábula;1667-7900;2362-5651;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/el-hilo-de-la-fabula/
El Hornero (Buenos Aires);0073-3407;1850-4884;Ciencias biológicas y de la salud;;https://www.caicyt-conicet.gov.ar/sitio/el-hornero-buenos-aires/
El oído pensante;;2250-1776;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/el-oido-pensante/
El taco en la brea;;2362-4191;Ciencias sociales y humanidades;Facultad de Humanidades y Cicias Sociales, Universidad Nacional del Litoral ;https://www.caicyt-conicet.gov.ar/sitio/el-taco-en-la-brea/
Enfoques (Libertador San Martín);1514-6006;1669-2721;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/enfoques-libertador-san-martin/
Ensayos económicos;0325-3937;1850-6046;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/ensayos-economicos/
Epistemología e historia de la ciencia;;2525-1198;Ciencias sociales y humanidades;Facultad de Filosofía y Humanidades Universidad Nacional de Córdoba;https://www.caicyt-conicet.gov.ar/sitio/epistemologia-e-historia-de-la-ciencia/
Escritos contables y de administración (En línea);;1853-2055;Ciencias sociales y humanidades;Universidad Nacional del Sur;https://www.caicyt-conicet.gov.ar/sitio/escritos-contables-y-de-administracion-en-linea/
Espacios en blanco. Serie indagaciones;1515-9485;2313-9927;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/espacios-en-blanco-serie-indagaciones/
Estudios de filosofía práctica e historia de las ideas;1515-7180;1851-9490;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/estudios-de-filosofia-practica-e-historia-de-las-ideas/
Estudios de historia de España;;0328-0284;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/estudios-de-historia-de-espana/
Estudios de teoría literaria;;2313-9676;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/estudios-de-teoria-literaria/
Estudios del ISHiR;;2250-4397;Ciencias sociales y humanidades;Unidad Ejecutora  Red ISHIR, CONICET ;https://www.caicyt-conicet.gov.ar/sitio/estudios-del-ishir/
Estudios del trabajo;0327-5744;2545-7756;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/estudios-del-trabajo/
Estudios digital;0328-185X;1852-1568;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/estudios-digital/
Estudios económicos (En línea);0425-368X;2525-1295;Ciencias sociales y humanidades;Universidad Nacional del Sur ;https://www.caicyt-conicet.gov.ar/sitio/estudios-economicos-en-linea/
